Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/snapshot,122,0,72,177.7502560983606,36.3367500000038,1915.350458999999,869.9754098360655,1.0199107317308578,0.0,72,82,95,120,530,600,1700,1900,1900,1900,1900
GET,/admin/timeline,120,0,9,26.454853491666874,3.8179579999990665,756.3788329999994,613.0,1.003190883669696,0.0,9,14,18,20,27,38,370,450,760,760,760
GET,/ai-teammate/status,147,0,10,15.637098925169894,5.239583999994579,183.91645799999878,1202.0,1.2289088324953779,0.0,10,14,20,23,26,33,66,88,180,180,180
GET,/api/v1/countries,257,1,4,8.879561603112837,0.9930419999975015,604.5812080000062,437.2918287937743,2.148500475859266,0.008359924030580801,4,4,5,5,7,9,20,150,600,600,600
POST,/auth/login,5,0,120.0,131.71016659999998,93.34904199999994,177.18704200000002,455.0,0.041799620152904005,0.0,120,160,160,180,180,180,180,180,180,180,180
GET,/country-benchmark,253,0,4,23.387258059288698,1.4060000000011286,1579.0695839999992,177.3596837944664,2.1150607797369427,0.0,4,5,5,6,9,14,48,1200,1600,1600,1600
POST,/evaluate,1016,2,4,10.693291595472724,1.4496250000064492,1370.2072909999997,734.5511811023622,8.493682815070095,0.016719848061161603,4,5,5,6,9,13,33,130,1300,1400,1400
GET,/health,1356,4,4,11.551537573746408,0.8560419999952273,1511.0996659999998,53.84070796460177,11.336056985467566,0.033439696122323205,4,4,5,5,8,12,56,180,1400,1500,1500
POST,/model-compare,111,0,4,18.893004558559504,1.6573750000077325,785.3091249999977,257.0,0.9279515673944689,0.0,4,5,6,6,8,14,200,580,790,790,790
POST,/predict,766,1,5,9.824010365535221,1.7737089999982913,1300.654416999997,197.74151436031332,6.403701807424894,0.008359924030580801,5,5,6,7,10,14,31,120,1300,1300,1300
POST,/predict/explain,367,0,44,67.68919732425081,24.561333000001184,1723.670207999998,2111.0,3.068092119223154,0.0,44,55,62,67,87,130,290,730,1700,1700,1700
,Aggregated,4520,8,4,21.462137551770034,0.8560419999952273,1915.350458999999,506.6300884955752,37.78685661822522,0.06687939224464641,4,6,8,10,39,65,130,330,1700,1900,1900
